Scenes	Sl. No.	Start_time	End_time	Utterance	Label	Speaker
Scene_1	1	0:00:41.480000	0:00:02.200000	कोकी! कोकी!	non-humor	Pinki,u-
Scene_1	2	0:00:43.840000	0:00:02.120000	कोकी जल्दी कर ना! ट्रेन का टाइम हो रहा है।	non-humor	Pinki,u-
Scene_1	3	0:00:46.040000	0:00:01.190000	आई, पिंकी।	non-humor	Koki,u2
Scene_1	4	0:00:48.070000	0:00:02	रुको जरा। मैं केशू को आवाज लगाती हूं।	non-humor	Koki,u2
Scene_1	5	0:00:51.720000	0:00:00.870000	केशू!	non-humor	Koki,u2
Scene_1	6	0:00:54.230000	0:00:01.450000	अरे बस हो गया!	humor	Koki,u2
Scene_1	7	0:00:55.840000	0:00:01	कितना झांकोगे?	humor	Koki,u2
Scene_1	8	0:00:56.920000	0:00:01.960000	एक दिन बालकनी से नीचे गिर जाओगे।	humor	Koki,u2
Scene_1	9	0:01:01.920000	0:00:00.960000	ऐक्सक्यूज मी।	non-humor	Keshu,u8
Scene_1	10	0:01:03.760000	0:00:02.560000	अरे हमारे ट्रेन का समय हो गया। हम निकल रहे रहे है।	non-humor	Koki,u9
Scene_1	11	0:01:06.080000	0:00:02.200000	आया, कोकी।	non-humor	Keshu,u10
Scene_1	12	0:01:09.230000	0:00:01.790000	आई ग!	non-humor	Keshu,u10
Scene_1	13	0:01:12.040000	0:00:02.800000	अरे तीर्थ यात्रा पर जाने की इतनी भी क्या जल्दी थी, कोकी?	non-humor	Keshu,u10
Scene_1	14	0:01:14.920000	0:00:01.800000	अरे बुढ़ापे में मैं तुम्हें खुद ले के जाता।	humor	Keshu,u10
Scene_1	15	0:01:16.080000	0:00:02.400000	आऊंगी ना अगले साल तुम्हारे साथ।	humor	Koki,u14
Scene_1	16	0:01:18.590000	0:00:02.050000	क्यों? अगले साल तुम बूढ़ी होने वाली हो?	non-humor	Keshu,u15
Scene_1	17	0:01:20.760000	0:00:01.200000	तुम्हारी बात कर रही थी।	humor	Koki,u16
Scene_1	18	0:01:24.880000	0:00:01.150000	पिंकी आंटी!	humor	Keshu,u17
Scene_1	19	0:01:26.020000	0:00:01.050000	ओए!	non-humor	Pinki,u18
Scene_1	20	0:01:27.160000	0:00:02.360000	मतलब पिंकी जी! वैसे, आप लोग  कहां जा रहे हो?	non-humor	Keshu,u19
Scene_1	21	0:01:29.080000	0:00:03.510000	हम हिमालय की बरफीली चोटी पर जा रहे हैं।	non-humor	Pinki,u20
Scene_1	22	0:01:32.720000	0:00:01.200000	छलांग मारने?	humor	Keshu,u21
Scene_1	23	0:01:34.280000	0:00:01	ऐ! केशू!	non-humor	Koki,u22
Scene_1	24	0:01:36.280000	0:00:01.480000	शिव जी का मंदिर है वहां पर।	non-humor	Pinki,u22
Scene_1	25	0:01:38.160000	0:00:01.120000	ओउम् नमः शिवाय!	non-humor	Keshu,u24
Scene_1	26a	0:01:40.160000	0:00:00.273000	कोकी!	non-humor	Keshu,u24
Scene_1	26b	0:01:40.483000	0:00:00.587000	हाँ।	non-humor	Koki,u26a
Scene_1	27	0:01:41.160000	0:00:01.720000	शिव जी से मेरे लिए क्या मांगोगी?	humor	Keshu,u26b
Scene_1	28	0:01:43.040000	0:00:01	थोड़ी सी अकल!	humor	Koki,u27
Scene_1	29	0:01:47.640000	0:00:00.950000	पिंकी!	non-humor	Koki,u27
Scene_1	30	0:01:49.480000	0:00:01.590000	कोकी, चल ना।	non-humor	Pinki,u29
Scene_1	31a	0:01:51.160000	0:00:00.406000	देर हो रही है।	humor	Pinki,u29
Scene_1	31b	0:01:51.616000	0:00:00.414000	चलो अभी।	non-humor	Koki,u31a
Scene_1	32a	0:01:52.070000	0:00:00.548000	चल चल चल।	non-humor	Pinki,u31b
Scene_1	32b	0:01:52.668000	0:00:00.772000	पिंकी जी!	non-humor	Keshu,u32a
Scene_1	33	0:01:54.480000	0:00:01.360000	सबका ख्याल रखना, हां?	non-humor	Keshu,u32a
Scene_1	34	0:01:55.990000	0:00:01.090000	हां। ख्याल रखेंगे ना।	non-humor	Pinki,u33
Scene_1	35	0:01:57.920000	0:00:01.840000	और वैसे भी, मेरी भांजी भी तो है।	non-humor	Pinki,u33
Scene_1	36	0:01:59.920000	0:00:01.150000	कल ही गाँव से आई है।	non-humor	Pinki,u33
Scene_1	37	0:02:01.230000	0:00:03.790000	हम दोनों मिल के ना कोकी और चिंटू का अच्छे से ख्याल रखेंगे, ठीक है?	non-humor	Pinki,u33
Scene_1	38	0:02:05.350000	0:00:02.670000	चिंटू! बेटा जल्दी आ। तू भी जल्दी चल।	non-humor	Pinki,u33
Scene_1	39a	0:02:08.880000	0:00:00.348000	बाय पापा।	non-humor	Chintu,u38
Scene_1	39b	0:02:09.278000	0:00:00.762000	बाय बेटा।	non-humor	Keshu,u39a
Scene_1	40	0:02:11.320000	0:00:02.270000	तेरा ख्याल रखना और मम्मी का भी, हा?	non-humor	Chintu,u39b
Scene_1	41a	0:02:13.760000	0:00:00.543333	जाओ जा।	non-humor	Keshu,u40
Scene_1	41b	0:02:14.353333	0:00:01.036667	चल चल चल चल।	non-humor	Pinki,u41a
Scene_1	42	0:02:15.480000	0:00:01.110000	चल चल चल।	non-humor	Pinki,u41a
Scene_1	43	0:02:19.070000	0:00:02.050000	पड़ोसियों का ख्याल तो बिना बोले रखोगे।	humor	Koki,u41b
Scene_1	44	0:02:21.020000	0:00:02.020000	लगे हाथों अपना भी ख्याल रख लेना।	humor	Koki,u41b
Scene_1	45a	0:02:23.520000	0:00:00.653333	तुम भी।	non-humor	Keshu,u44
Scene_1	45b	0:02:24.223333	0:00:00.696667	हमममम।	non-humor	Koki,u45a
Scene_1	46a	0:02:25.520000	0:00:00.504000	ऐ कुकडी!	humor	Keshu,u45b
Scene_1	46b	0:02:26.074000	0:00:01.126000	क्या है?	humor	Koki,u46a
Scene_1	47a	0:02:27.440000	0:00:00.489000	मेरी चकूलि!	humor	Keshu,u46b
Scene_1	47b	0:02:27.979000	0:00:01.091000	ऐ हट!	non-humor	Koki,u47a
Scene_1	48a	0:02:29.520000	0:00:00.653333	जल्दी आना?	non-humor	Keshu,u47b
Scene_1	48b	0:02:30.223333	0:00:00.696667	क्यों?	non-humor	Koki,u48a
Scene_1	49	0:02:31.320000	0:00:02.440000	तुम तो जानती हो तुम्हारे बगैर मेरा जी नहीं लगता।	humor	Keshu,u48b
Scene_1	50a	0:02:34.880000	0:00:00.864000	सच कह रहे हो?	non-humor	Koki,u49
Scene_1	50b	0:02:35.794000	0:00:00.526000	मुच!	humor	Keshu,u50a
Scene_1	51	0:02:36.880000	0:00:00.960000	तो ठीक है। मैं नहीं जाती	non-humor	Koki,u50b
Scene_1	52	0:02:37.920000	0:00:01.150000	क्या तुम पागल हो?	humor	Keshu,u51
Scene_1	53	0:02:40.440000	0:00:01.910000	जाते वक्त ऐसी अशुभ बातें नहीं करते।	humor	Keshu,u51
Scene_1	54	0:02:42.760000	0:00:01.960000	अरे थोड़ा तो वक्त है।	non-humor	Keshu,u51
Scene_1	55	0:02:45.590000	0:00:01.730000	यूं निकल जाएगा। जाओ जाओ।	non-humor	Keshu,u51
Scene_1	56	0:02:48.070000	0:00:00.970000	अच्छा। जाती हूँ।	non-humor	Koki,u55
						
Scene_2	57	0:02:50.070000	0:00:01.370000	कोकी जी!	non-humor	Dilruba,u-
Scene_2	58	0:02:51.520000	0:00:00.560000	कोकी जी, आप कहाँ जा रही हैं?	non-humor	Dilruba,u-
Scene_2	59	0:02:52.880000	0:00:01.600000	देखा। हो गया ना अपसगुन।	humor	Keshu,u58
Scene_2	60	0:02:54.550000	0:00:01	केशू!	non-humor	Koki,u59
Scene_2	61	0:02:55.640000	0:00:01.380000	मैं तीर्थ यात्रा पर जा रही हूं।	non-humor	Koki,u58
Scene_2	62	0:02:57.350000	0:00:01	ओ माई गॉड!	humor	Dilruba,u61
Scene_2	63	0:02:58.440000	0:00:01.240000	आप वापस कब आओगी?	non-humor	Dilruba,u61
Scene_2	64	0:03:00.520000	0:00:01.960000	शायद, कभी नहीं!	humor	Koki,u63
Scene_2	65	0:03:02.590000	0:00:01.130000	हो नो!	humor	Dilruba,u64
Scene_2	66	0:03:04.070000	0:00:02.450000	जाते जाते अपना ऐड्रेस देते जाना, प्लीज?	non-humor	Dilruba,u64
Scene_2	67	0:03:06.760000	0:00:01.230000	क्यों? आप आएंगे वहां?	non-humor	Koki,u66
Scene_2	68a	0:03:08.160000	0:00:00.231667	यां।	non-humor	Dilruba,u67
Scene_2	68b	0:03:08.441667	0:00:01.108333	मैं स्वर्ग जा रही हूं।	non-humor	Koki,u68a
Scene_2	69a	0:03:09.640000	0:00:00.504000	आएंगे?	non-humor	Koki,u68a
Scene_2	69b	0:03:10.194000	0:00:01.126000	यां!	non-humor	Dilruba,u69a
Scene_2	70	0:03:11.040000	0:00:03	अकु बाई यां को बोल दो, वो स्वर्ग है किचन  नहीं।	non-humor	Keshu,u69b
Scene_2	71	0:03:14.440000	0:00:01.280000	उनको एंट्री नहीं मिलेगी।	humor	Keshu,u69b
Scene_2	72	0:03:16.640000	0:00:01.190000	केशू!	non-humor	Koki,u71
Scene_2	73	0:03:17.880000	0:00:02.630000	सुनो मुझे याद करना। मैं जा रही हूँ।	non-humor	Koki,u71
Scene_2	74	0:03:20.640000	0:00:01.030000	मैं याद करुंगा ना।	non-humor	Dilruba,u73
Scene_2	75	0:03:21.080000	0:00:02.640000	बोलो! मेरा जवाब भी ये दे रहे हैं।	non-humor	Keshu,u74
Scene_2	76	0:03:24.020000	0:00:01.020000	मैं चलती हूँ।	non-humor	Koki,u75
Scene_2	77a	0:03:25.070000	0:00:00.608000	बाय, केशू।	non-humor	Koki,u75
Scene_2	77b	0:03:25.728000	0:00:00.862000	बाय, कोकी जी।	humor	Dilruba,u77a
Scene_2	78a	0:03:26.760000	0:00:00.560000	बाय, केशू।	humor	Koki,u77b
Scene_2	78b	0:03:27.370000	0:00:00.790000	बाय, कोकी जी।	humor	Dilruba,u78a
Scene_2	79a	0:03:28.040000	0:00:00.416000	बाय, केशू।	humor	Koki,u78b
Scene_2	79b	0:03:28.506000	0:00:00.574000	बाय, कोकी जी।	humor	Dilruba,u79a
Scene_2	80a	0:03:29.920000	0:00:00.440000	बाय, केशू।	humor	Koki,u79b
Scene_2	80b	0:03:30.410000	0:00:00.610000	बाय,  कोकी जी।	humor	Dilruba,u80a
Scene_2	81a	0:03:31.280000	0:00:00.372000	बाय, केशू।	humor	Koki,u80b
Scene_2	81b	0:03:31.702000	0:00:00.818000	बाय, कोकी।	humor	Dilruba,u81a
Scene_2	82	0:03:32.590000	0:00:01	बाय, के .. बाय! बाय..	humor	Koki,u81b
Scene_2	83	0:03:33.680000	0:00:01.760000	अरे भाई बस कर। बाय बाय।	humor	Keshu,u82
Scene_2	84	0:03:35.680000	0:00:01	तो वापस आने का वक्त हो जाएगा	humor	Keshu,u82
Scene_2	85	0:03:36.840000	0:00:01.480000	इतना बाय बाय करोगी	non-humor	Keshu,u82
Scene_2	86a	0:03:38.040000	0:00:01.037000	चलो चलो लिकलो निकलो ।	non-humor	Keshu,u82
